Train Loss	Train Loss X	Train Loss U	Val Loss	Val Acc.	Test Loss	Test Acc.	Epoch Time	
0.107266	0.013207	0.313529	2.740917	50.800000	2.756794	50.440000	360.933031	
0.099541	0.010170	0.297903	2.574426	50.940000	2.572235	51.350000	360.950546	
0.088926	0.012052	0.256249	2.791446	49.820000	2.743979	49.730000	360.882580	
0.107304	0.014732	0.308571	2.573619	49.700000	2.585316	49.960000	361.233650	
0.100612	0.015892	0.282399	2.715390	48.960000	2.729868	48.410000	361.188790	
0.101341	0.011133	0.300692	2.624984	50.900000	2.656330	50.490000	361.183083	
0.088736	0.012451	0.254282	2.612680	51.520000	2.586341	51.420000	361.356323	
0.098227	0.014170	0.280191	2.542383	52.100000	2.507390	51.990000	361.351544	
0.095457	0.011681	0.279253	2.712174	50.660000	2.719451	51.170000	361.497340	
0.089072	0.013911	0.250537	2.515355	51.660000	2.522972	51.830000	361.646441	
0.089458	0.011989	0.258233	2.439213	52.840000	2.438465	52.740000	361.807587	
0.092114	0.013466	0.262163	2.569784	53.280000	2.583682	52.590000	361.931514	
0.075475	0.007710	0.225884	2.537514	52.700000	2.528837	53.350000	362.098902	
0.080649	0.011456	0.230644	2.403203	52.820000	2.430269	53.040000	362.207075	
0.084743	0.012117	0.242086	2.606066	50.520000	2.616207	51.830000	362.266498	
0.076528	0.009069	0.224864	2.510383	53.680000	2.515722	53.250000	362.409502	
0.088557	0.013692	0.249549	2.557230	52.160000	2.539163	52.310000	362.530591	
0.079146	0.010384	0.229210	2.688402	49.840000	2.699462	50.300000	362.723205	
0.088495	0.010122	0.261243	2.467675	52.620000	2.458048	53.350000	362.693923	
0.081028	0.010997	0.233438	2.516119	52.880000	2.513284	53.050000	362.788746	
0.082133	0.010938	0.237318	2.328265	55.580000	2.310739	54.950000	362.788677	
0.072049	0.006799	0.217499	2.303877	55.420000	2.333959	55.180000	362.873374	
0.079319	0.011178	0.227139	2.467159	54.000000	2.500564	53.830000	362.916664	
0.079831	0.009878	0.233175	2.308196	54.980000	2.343091	55.000000	362.838143	
0.066485	0.007550	0.196453	2.675984	52.340000	2.660491	53.000000	362.904765	
0.085514	0.014950	0.235213	2.502068	53.560000	2.474610	54.040000	362.918508	
0.070141	0.008759	0.204604	2.432271	52.080000	2.413948	52.940000	363.020714	
0.074869	0.011773	0.210319	2.285221	54.540000	2.288887	54.080000	363.052696	
0.074119	0.010608	0.211704	2.333100	54.500000	2.336307	54.460000	363.134100	
0.085602	0.011694	0.246359	2.390440	53.980000	2.370205	54.500000	363.267404	
0.081611	0.011111	0.234998	2.485165	54.380000	2.442962	55.160000	363.323093	
0.067400	0.008497	0.196344	2.391321	54.460000	2.347453	55.200000	363.354115	
0.076781	0.008443	0.227792	2.400321	53.900000	2.406432	54.290000	363.403066	
0.056024	0.006339	0.165618	2.361790	54.180000	2.362698	53.860000	363.410800	
0.093699	0.015890	0.259362	2.222065	55.440000	2.253187	55.970000	363.415799	
0.066879	0.007624	0.197517	2.453120	54.160000	2.479043	54.030000	363.402325	
0.082510	0.010746	0.239213	2.306148	53.600000	2.286029	54.650000	363.437436	
0.058701	0.008336	0.167882	2.579716	52.840000	2.550562	53.700000	363.445442	
0.065559	0.007825	0.192448	2.322449	54.720000	2.302485	55.500000	363.474395	
0.068816	0.008220	0.201988	2.470289	54.200000	2.463282	55.070000	363.465024	
0.071795	0.009573	0.207407	2.104465	57.120000	2.073457	56.820000	363.473868	
0.064659	0.008873	0.185954	2.351365	56.080000	2.331033	56.170000	363.512421	
0.081036	0.013278	0.225861	2.255161	55.580000	2.228351	56.520000	363.450297	
0.061640	0.005131	0.188361	2.486595	54.040000	2.430883	55.030000	363.448539	
