Train Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	
0.523227	0.508431	0.018789	2.979013	28.173018	
0.500404	0.485450	0.018888	3.039482	27.808082	
0.505880	0.490892	0.018826	3.036189	28.092348	
0.487444	0.471275	0.019157	3.038631	27.742778	
0.487389	0.470945	0.019195	2.989087	28.330516	
0.512418	0.496717	0.018197	2.994831	27.984788	
0.494808	0.478415	0.018899	2.993224	27.980947	
0.515589	0.499647	0.018281	3.026936	27.688998	
0.509062	0.492576	0.018807	3.018634	27.973264	
0.512360	0.496150	0.018395	3.002023	28.403503	
0.500833	0.484304	0.018661	2.997792	28.030885	
0.485173	0.468349	0.018896	2.962229	28.046251	
0.497469	0.480851	0.018568	2.979098	27.838814	
0.509476	0.492253	0.018296	2.944618	28.345882	
0.478629	0.460835	0.018553	2.903738	28.783805	
0.520992	0.503341	0.018284	2.903502	29.052704	
0.493966	0.475870	0.018649	2.942044	28.891364	
0.529253	0.511776	0.017922	2.956869	28.633989	
0.509972	0.491801	0.018541	2.972237	28.614782	
0.492598	0.474357	0.018521	2.973368	28.522588	
0.503277	0.485331	0.018131	2.938035	28.887523	
0.514913	0.496972	0.018039	2.951171	29.152581	
0.511280	0.493371	0.017918	2.926941	29.160264	
0.492903	0.473673	0.018253	2.899511	29.636601	
0.500165	0.481068	0.017899	2.863608	30.258912	
0.500776	0.481539	0.017916	2.853376	30.401045	
0.522363	0.503241	0.017724	2.840055	30.324216	
0.501853	0.482381	0.017963	2.867866	30.558543	
0.519063	0.499867	0.017624	2.867892	30.750615	
0.493673	0.474129	0.017859	2.878555	30.450983	
0.518574	0.499118	0.017696	2.894828	30.616165	
0.501383	0.481364	0.018122	2.860627	30.620006	
0.500346	0.480361	0.017941	2.856919	30.604640	
0.486836	0.465538	0.018129	2.869819	30.650738	
0.506560	0.485716	0.017630	2.879613	30.792870	
0.528035	0.507580	0.017222	2.867681	30.635372	
0.500392	0.479244	0.017725	2.868970	30.600799	
0.522404	0.501780	0.017207	2.889254	30.777505	
0.508938	0.487711	0.017629	2.919819	30.938844	
0.516740	0.495805	0.017309	2.928331	31.042563	
0.504809	0.483095	0.017873	2.939629	31.361401	
0.534104	0.513121	0.017194	2.924519	31.011832	
0.522481	0.500425	0.017570	2.862580	31.242317	
0.514833	0.492155	0.017528	2.879313	31.288414	
0.517116	0.494129	0.017658	2.861628	31.426706	
0.508723	0.485992	0.017385	2.870291	31.718654	
0.503908	0.481083	0.017381	2.877188	31.622618	
0.527595	0.505173	0.017000	2.844389	31.849262	
0.535238	0.512504	0.017163	2.839864	32.029809	
0.544167	0.521501	0.017037	2.839492	31.853104	
0.506159	0.482701	0.017557	2.866271	31.564997	
