Train Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	Epoch Time	
0.253746	0.006114	0.504491	1.106623	75.000000	25.809390	
0.251294	0.006216	0.498057	1.104715	75.160000	25.881251	
0.253019	0.007268	0.499116	1.118611	75.110000	25.634002	
0.259731	0.006136	0.507301	1.128955	74.940000	25.809471	
0.260107	0.006379	0.507455	1.123915	74.660000	26.284741	
0.268007	0.006108	0.521899	1.129367	74.690000	26.146208	
0.268299	0.006194	0.516256	1.134570	74.760000	26.021037	
0.271944	0.006615	0.522494	1.108769	74.970000	26.046041	
0.267708	0.005878	0.512067	1.081722	75.350000	25.710208	
0.264718	0.006081	0.501715	1.085636	75.330000	26.121158	
0.258337	0.005799	0.489770	1.089387	75.260000	26.021230	
0.263302	0.005825	0.494211	1.089256	75.360000	26.232600	
0.260878	0.006244	0.486587	1.085905	75.410000	26.461786	
0.267982	0.006449	0.499645	1.071221	75.700000	26.247762	
0.275673	0.006406	0.507395	1.082364	75.520000	26.195997	
0.270070	0.005343	0.498431	1.091823	75.490000	26.251356	
0.269048	0.007831	0.490431	1.095431	75.470000	26.360436	
0.269802	0.006687	0.488206	1.088271	75.700000	26.443010	
0.267341	0.005876	0.485035	1.091857	75.580000	26.433514	
0.274526	0.006340	0.494186	1.067467	76.070000	26.323794	
0.266633	0.005692	0.477250	1.064426	75.760000	26.519913	
0.275438	0.005685	0.493262	1.054990	76.010000	26.575361	
0.273558	0.006155	0.483940	1.047960	76.360000	26.448048	
0.276890	0.005848	0.488727	1.032372	76.270000	26.434132	
0.273655	0.006021	0.482350	1.018384	76.660000	26.578650	
0.266123	0.005564	0.463331	1.017139	76.750000	26.658106	
0.260288	0.005449	0.453049	1.025207	76.660000	26.871501	
0.270266	0.006860	0.466176	1.042855	76.350000	26.799482	
0.278853	0.006832	0.477078	1.058201	76.030000	26.755879	
0.279333	0.005170	0.480724	1.042454	76.580000	26.601635	
0.277585	0.005918	0.472211	1.051743	76.520000	26.861991	
0.278663	0.006075	0.471605	1.036530	76.930000	26.955931	
0.278285	0.005562	0.471737	1.037720	76.770000	26.785480	
0.287259	0.005817	0.480507	1.043248	76.760000	26.961363	
0.280664	0.006094	0.468704	1.048667	76.900000	26.958497	
0.278931	0.005520	0.464726	1.047812	76.830000	26.745384	
0.281070	0.005508	0.464202	1.030165	76.860000	27.169700	
0.282524	0.005356	0.466810	1.010355	77.270000	27.289401	
0.285744	0.006570	0.466153	1.009194	77.410000	27.419231	
0.294217	0.005766	0.479612	1.018125	77.200000	27.616345	
0.301664	0.006934	0.489786	1.006602	77.120000	27.197559	
0.304245	0.005604	0.490180	0.999436	77.290000	27.252932	
0.294658	0.005988	0.473715	0.994009	77.600000	27.454468	
0.289658	0.005827	0.463470	0.973483	77.730000	27.524494	
0.293442	0.006462	0.465074	0.977274	77.610000	27.493434	
0.290248	0.005235	0.461793	0.987994	77.690000	27.300809	
0.295795	0.006087	0.464773	0.993337	77.690000	27.766402	
0.299504	0.005487	0.470520	1.017597	77.340000	28.060570	
0.310964	0.005709	0.487318	1.000640	77.720000	27.755996	
0.306447	0.005867	0.475095	0.995073	77.660000	27.870051	
0.309945	0.004980	0.481920	0.989295	77.860000	28.169318	
0.317980	0.005615	0.490016	0.987613	77.790000	27.987476	
0.317084	0.006690	0.484619	0.977241	77.640000	28.063864	
0.302348	0.006162	0.462295	0.947410	77.860000	27.720352	
0.294717	0.005778	0.445685	0.960281	77.930000	28.033732	
0.297488	0.005075	0.450950	0.949745	78.260000	27.990698	
0.299230	0.008170	0.446553	0.966634	77.930000	28.010162	
0.287267	0.005609	0.429272	0.952625	78.150000	28.413246	
0.286452	0.004695	0.429344	0.952790	78.140000	28.378299	
0.290513	0.005123	0.430417	0.952806	78.380000	28.454265	
0.298596	0.005308	0.441753	0.944770	78.490000	28.481625	
0.298860	0.005568	0.439999	0.931229	78.510000	28.433126	
0.289177	0.005158	0.422803	0.945121	78.470000	28.375087	
0.291208	0.005907	0.424634	0.937291	78.840000	28.294770	
0.285345	0.005556	0.412635	0.943952	78.680000	28.284592	
0.291668	0.005733	0.420756	0.957963	78.440000	28.604124	
0.289832	0.005492	0.417103	0.950130	78.680000	28.635788	
0.297649	0.005600	0.424863	0.964800	78.420000	28.406011	
0.295644	0.004879	0.422931	0.961874	78.510000	28.707447	
0.320453	0.006544	0.452757	0.960633	78.650000	28.895561	
0.311672	0.005939	0.439781	0.940670	78.810000	28.837137	
0.295217	0.005128	0.416141	0.936275	78.870000	28.659332	
0.295694	0.005771	0.412403	0.941637	79.060000	28.997322	
0.305155	0.005133	0.426698	0.939955	78.960000	28.870024	
0.304778	0.006288	0.421072	0.945079	78.760000	28.953033	
0.321369	0.005564	0.444288	0.934032	78.820000	29.042403	
0.320019	0.005595	0.440990	0.908772	79.350000	29.124100	
0.317690	0.005205	0.434834	0.895993	79.620000	29.217233	
0.304595	0.004986	0.416847	0.893344	79.750000	29.137132	
0.304982	0.005365	0.413283	0.891589	79.800000	29.816922	
0.309052	0.005587	0.417750	0.894247	79.680000	29.435352	
0.308391	0.005359	0.415596	0.897032	79.820000	29.486068	
0.309339	0.005328	0.414049	0.897364	79.630000	29.454422	
