Train Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	Epoch Time	
0.125804	0.003220	0.412916	3.294451	28.968193	22.803412	
0.132953	0.003663	0.434037	3.357451	30.301168	22.972385	
0.147226	0.004092	0.469908	3.373139	31.104026	22.696722	
0.138707	0.003496	0.443769	3.422010	31.238476	23.088325	
0.147652	0.003316	0.473719	3.392880	31.853104	22.565146	
0.154313	0.003642	0.482308	3.362743	33.262907	23.223557	
0.155931	0.003527	0.487754	3.363488	34.142594	23.072225	
0.148374	0.002861	0.465643	3.298232	34.834050	22.954494	
0.152284	0.003556	0.465845	3.193166	35.925015	22.915806	
0.153052	0.003695	0.466480	3.082636	37.019822	22.745128	
0.143757	0.003734	0.437146	2.971545	38.010910	23.165019	
0.147384	0.003814	0.439704	2.961090	38.080055	22.976583	
0.141848	0.003201	0.422693	2.801503	39.797173	23.316164	
0.140866	0.003529	0.418550	2.630771	42.082821	23.883051	
0.142086	0.003348	0.416057	2.545936	43.484942	23.494156	
0.135348	0.002762	0.394805	2.617998	42.939459	23.126888	
0.156157	0.003365	0.454825	2.631077	42.862631	22.903101	
0.157538	0.003308	0.452825	2.605502	43.000922	23.486010	
0.139230	0.003025	0.396411	2.540156	44.061155	23.265165	
0.136616	0.002852	0.389132	2.447472	45.390289	23.193120	
0.155118	0.003350	0.435608	2.422145	45.855101	23.403245	
0.137948	0.002893	0.384278	2.321660	47.253380	23.240806	
0.141893	0.002710	0.395899	2.243966	48.663184	24.509095	
0.148394	0.002809	0.409216	2.254751	49.800246	24.419771	
0.152979	0.003225	0.416863	2.206669	50.998771	24.250950	
0.141226	0.002694	0.385479	2.160168	51.893823	24.353334	
0.150340	0.003347	0.404723	2.085144	52.619852	25.371164	
0.158618	0.003166	0.423507	2.083093	52.969422	23.980612	
0.153802	0.002843	0.411121	2.007209	54.283190	24.383069	
0.156609	0.002317	0.416090	1.866858	56.280731	24.326838	
0.164491	0.002728	0.431518	1.884886	56.369084	24.362884	
0.166959	0.003246	0.436570	1.822681	57.778888	24.409677	
0.171411	0.002785	0.445346	1.820599	59.050400	23.903334	
0.177970	0.003116	0.456917	1.917336	56.634143	24.081819	
0.168369	0.003077	0.431783	1.797029	57.694376	23.818351	
0.160758	0.002466	0.409542	1.726151	59.611248	23.790701	
0.177770	0.003186	0.447079	1.827405	58.405040	23.889654	
0.175510	0.002695	0.442406	1.705365	60.179779	24.675372	
0.173550	0.002415	0.433832	1.639374	61.604948	25.175292	
0.185037	0.002893	0.457296	1.603529	62.734327	24.098006	
0.189474	0.002872	0.468335	1.551200	64.505224	25.181617	
0.177291	0.002828	0.433371	1.591075	64.178703	24.522334	
0.180890	0.002918	0.438204	1.591758	64.305470	24.815472	
0.177443	0.002400	0.430877	1.595353	64.128765	24.386183	
0.181998	0.002466	0.436973	1.674648	63.202981	25.003056	
0.169382	0.002179	0.403929	1.726043	62.511524	24.368106	
0.184782	0.003057	0.438884	1.741983	62.903350	24.654202	
0.182613	0.002920	0.428821	1.544243	65.396435	25.188617	
0.184232	0.002540	0.430819	1.597214	65.085280	25.336402	
0.184589	0.002687	0.431176	1.662473	64.436079	24.938630	
0.183410	0.002922	0.422076	1.557542	66.114782	25.052034	
0.180165	0.002142	0.414402	1.516560	67.140443	24.305963	
0.180518	0.002154	0.415101	1.500814	67.490012	24.896403	
0.196247	0.002914	0.443216	1.469852	68.154579	24.911582	
0.187442	0.002164	0.423605	1.356577	69.449140	24.775600	
0.187038	0.002380	0.422075	1.330077	69.510602	25.183041	
0.190722	0.002766	0.422617	1.423900	68.200676	24.907223	
0.197820	0.002678	0.438328	1.431439	67.689766	25.162931	
0.193188	0.001934	0.429155	1.364698	69.533651	24.828578	
0.197414	0.002474	0.430308	1.387872	69.345421	25.110854	
0.195395	0.002604	0.425469	1.401781	69.210971	24.830890	
0.190519	0.002135	0.414575	1.244432	72.222649	25.434801	
0.194378	0.002186	0.417069	1.252090	72.641364	25.623187	
0.204611	0.002449	0.438587	1.242923	72.649047	25.735844	
0.195497	0.002141	0.417216	1.234517	73.378918	25.521402	
0.204599	0.002146	0.431999	1.261189	72.883374	26.157478	
0.210157	0.003060	0.441807	1.194405	73.966656	25.961486	
0.209919	0.003022	0.437962	1.266732	72.115089	25.699272	
0.208388	0.002267	0.432614	1.202953	73.321297	26.071547	
0.207098	0.002355	0.429625	1.100048	74.980793	26.356965	
0.204973	0.001960	0.421617	1.063960	75.998771	25.809558	
0.211155	0.002457	0.430957	1.105041	75.184388	26.314275	
0.212909	0.001945	0.435540	1.153304	74.711893	26.060250	
0.218825	0.002141	0.441514	1.071498	75.653042	26.029580	
0.218973	0.002346	0.440233	1.014836	76.874616	25.887721	
0.214194	0.001982	0.431023	0.967338	77.216503	25.991763	
0.214026	0.001921	0.424302	1.027414	76.083282	27.216603	
0.223474	0.002378	0.442191	1.064791	75.787492	26.471492	
0.217941	0.002049	0.430280	1.121322	74.861709	26.935649	
0.212283	0.001959	0.414270	1.191605	73.724647	26.300335	
0.222414	0.001904	0.434237	1.183381	74.174093	26.217240	
0.227444	0.002428	0.440106	1.174794	74.508297	26.117541	
0.226670	0.002063	0.435713	1.186470	74.477566	26.309827	
0.226903	0.002038	0.436102	1.167826	74.492932	26.358833	
0.221127	0.002238	0.420192	1.001765	76.936079	26.234450	
0.216810	0.001932	0.410611	1.078042	75.449447	26.116364	
0.227847	0.002242	0.431007	1.070373	75.491703	26.425379	
0.222960	0.001717	0.416897	1.084517	75.691457	26.303751	
0.224809	0.002324	0.418893	1.124729	75.265058	25.792822	
0.225023	0.002371	0.418047	1.096673	75.384143	26.063057	
0.223095	0.001892	0.410460	1.140911	75.334204	25.607829	
0.226369	0.002059	0.416111	1.021678	76.962969	26.691203	
0.225453	0.001830	0.412114	0.865757	78.368931	26.373016	
0.237937	0.002103	0.431335	0.906601	77.865704	25.922495	
0.234438	0.001889	0.425232	0.823300	79.943915	26.117705	
0.222122	0.001810	0.398796	0.730858	81.661033	26.493659	
0.233221	0.002048	0.416848	0.789874	80.454825	26.437506	
0.225959	0.001745	0.404077	0.720797	81.657191	26.508825	
0.241123	0.002135	0.424955	0.747113	81.415181	26.594210	
0.237108	0.001862	0.418216	0.764782	80.954210	27.004529	
0.234117	0.001941	0.410863	0.831262	79.797941	27.292307	
0.228980	0.002029	0.398043	0.800771	80.324216	26.794524	
0.236947	0.001788	0.412334	0.742636	81.672557	26.597593	
0.237656	0.002183	0.409328	0.765019	81.468961	27.643862	
0.227017	0.001629	0.389950	0.805906	81.042563	26.807561	
0.229088	0.001976	0.392843	0.831015	80.908113	26.920621	
0.243606	0.002045	0.412397	0.738384	82.287185	26.874052	
0.239693	0.001703	0.406259	0.633729	83.915950	27.002504	
0.239818	0.001452	0.405146	0.597608	84.895513	26.957049	
0.244585	0.002027	0.408614	0.635295	83.938998	27.125366	
0.232050	0.001686	0.387981	0.655023	83.454978	26.953087	
0.230292	0.001858	0.381486	0.694755	82.644438	27.563871	
0.227271	0.001886	0.374743	0.682681	82.821143	27.511147	
0.219444	0.001925	0.361465	0.661398	83.527966	27.891645	
0.224671	0.001536	0.366240	0.695861	83.047787	27.523935	
0.236094	0.002108	0.383977	0.788034	81.741703	27.216926	
0.244692	0.002095	0.396099	0.674738	83.309004	28.435146	
0.238677	0.001381	0.384566	0.670660	83.155347	27.777565	
0.237512	0.001432	0.382509	0.656793	83.666257	28.289582	
0.244835	0.001676	0.390100	0.660615	83.746927	27.786254	
0.246692	0.001613	0.392205	0.604269	84.799478	28.013777	
0.242566	0.001727	0.384450	0.622268	84.353872	27.795150	
0.262296	0.001999	0.411409	0.658055	83.827597	27.740894	
0.248338	0.002034	0.389222	0.729291	82.552243	28.614972	
0.245637	0.001579	0.382865	0.694680	83.247541	28.052449	
0.258609	0.001672	0.401148	0.712644	82.851875	28.041533	
0.249599	0.001781	0.386807	0.680996	83.285956	28.175313	
0.251461	0.001534	0.385499	0.747563	82.390903	28.488882	
0.258642	0.001933	0.395888	0.719917	82.909496	28.593342	
0.254805	0.001806	0.388126	0.760460	82.456208	28.622001	
0.252679	0.001790	0.382386	0.704802	83.424247	28.325936	
0.253258	0.001656	0.383393	0.621166	84.872465	28.622759	
0.264485	0.001956	0.395885	0.673338	83.781500	29.123497	
0.261239	0.001777	0.390791	0.662061	84.035034	28.749874	
0.260232	0.001569	0.387953	0.660413	84.165642	28.861679	
0.278650	0.002017	0.411803	0.665090	84.142594	29.269360	
0.263183	0.001545	0.389414	0.649304	84.484481	29.262167	
0.265210	0.001355	0.389098	0.659293	84.188691	28.804033	
0.270791	0.001576	0.396158	0.654637	84.507529	30.358239	
0.269399	0.001594	0.392854	0.691304	83.942840	29.791588	
0.272550	0.001500	0.394314	0.665997	84.184849	28.575429	
0.275689	0.002118	0.397922	0.578296	85.859711	28.916472	
0.270578	0.001518	0.388098	0.658607	84.031192	29.358095	
0.253760	0.001410	0.362984	0.644990	84.350031	28.620351	
0.262778	0.001699	0.374513	0.560274	86.113245	29.041463	
0.286235	0.001874	0.404492	0.629054	84.607406	29.169698	
0.271532	0.001786	0.383638	0.637673	84.649662	28.674011	
0.272740	0.001389	0.382727	0.626425	84.787953	29.634936	
0.278893	0.001550	0.390175	0.651029	84.100338	30.098407	
0.275537	0.001471	0.384399	0.611028	84.956976	29.753037	
0.265158	0.001366	0.367082	0.647606	84.499846	30.913948	
