Train Loss	Train Loss X	Train Loss U	Val Loss	Val Acc.	Test Loss	Test Acc.	Epoch Time	
0.296376	0.002404	0.293972	3.524663	56.920000	3.545251	57.580000	68.408378	
0.284907	0.001791	0.283116	3.524444	56.880000	3.529941	57.700000	68.408696	
0.283271	0.001942	0.281328	3.542189	57.220000	3.544437	57.740000	68.408213	
0.283988	0.001520	0.282468	3.534254	57.020000	3.530888	57.730000	68.408370	
0.286031	0.001887	0.284144	3.532739	57.040000	3.554753	57.630000	68.408574	
0.286693	0.002287	0.284406	3.540785	57.160000	3.570390	57.510000	68.408928	
0.284290	0.001761	0.282530	3.570345	56.860000	3.603964	57.900000	68.408676	
0.287170	0.002157	0.285013	3.570851	57.280000	3.613535	57.750000	68.408953	
0.283022	0.001608	0.281414	3.551387	57.040000	3.599596	57.430000	68.408735	
0.293241	0.002719	0.290522	3.555391	57.140000	3.603483	57.270000	68.408439	
0.281090	0.001741	0.279349	3.567269	57.080000	3.603284	57.190000	68.409627	
0.283495	0.001839	0.281657	3.601941	57.120000	3.611961	57.580000	68.409272	
0.280963	0.001781	0.279182	3.582056	56.940000	3.589149	57.520000	68.409499	
0.281315	0.001788	0.279527	3.605639	56.560000	3.602815	57.080000	68.408666	
0.283529	0.002191	0.281337	3.593370	56.700000	3.607317	57.250000	68.408134	
0.284655	0.001959	0.282696	3.579055	57.100000	3.610072	57.380000	68.407830	
0.285174	0.002017	0.283157	3.590423	57.040000	3.632856	57.400000	68.407986	
0.278821	0.001600	0.277222	3.562208	56.920000	3.604946	57.420000	68.407703	
0.282512	0.002004	0.280507	3.563101	56.900000	3.597992	57.280000	68.407399	
0.283216	0.002334	0.280882	3.556542	56.880000	3.592499	57.330000	68.406759	
0.285587	0.001975	0.283612	3.569919	56.820000	3.611103	57.260000	68.406651	
0.277717	0.001785	0.275932	3.586548	56.800000	3.614720	57.280000	68.406041	
0.274957	0.001867	0.273091	3.588038	56.720000	3.601627	57.110000	68.405228	
0.281505	0.001816	0.279689	3.603412	56.460000	3.630546	57.070000	68.405168	
0.282526	0.001970	0.280557	3.598027	56.900000	3.627139	56.970000	68.405642	
0.281896	0.001984	0.279912	3.576948	56.860000	3.596016	57.250000	68.406173	
0.280273	0.001861	0.278412	3.568172	56.560000	3.587767	57.140000	68.406484	
0.281201	0.002496	0.278704	3.557221	56.720000	3.581440	57.230000	68.405715	
0.276887	0.001605	0.275283	3.542730	56.720000	3.580884	57.130000	68.405763	
0.275292	0.001738	0.273554	3.548140	56.680000	3.577085	57.080000	68.405582	
0.282653	0.002068	0.280585	3.560652	56.980000	3.585410	56.930000	68.404858	
0.279117	0.001738	0.277379	3.576397	56.900000	3.601236	56.940000	68.404539	
0.277480	0.001794	0.275687	3.577791	56.940000	3.610019	56.920000	68.404350	
0.283457	0.002316	0.281140	3.536023	56.660000	3.566908	56.980000	68.403927	
0.275485	0.001701	0.273783	3.508078	56.860000	3.533488	57.060000	68.403837	
0.274343	0.001631	0.272712	3.519135	57.200000	3.544295	57.060000	68.403982	
0.277462	0.001922	0.275540	3.517551	57.040000	3.559941	56.950000	68.403827	
0.276444	0.001897	0.274547	3.517557	56.800000	3.564561	56.820000	68.402758	
0.275351	0.001674	0.273677	3.544302	56.920000	3.589122	56.870000	68.402565	
0.276546	0.001699	0.274847	3.583049	56.780000	3.621151	56.860000	68.403492	
0.274951	0.001997	0.272955	3.593769	57.140000	3.636203	56.990000	68.403214	
0.278183	0.002132	0.276051	3.579431	57.040000	3.635122	56.930000	68.402774	
0.273942	0.001776	0.272165	3.585013	57.160000	3.645809	56.770000	68.403206	
0.274661	0.001798	0.272863	3.584369	56.960000	3.648046	56.890000	68.405427	
0.273669	0.001802	0.271867	3.608554	57.060000	3.671760	57.130000	68.405391	
0.278908	0.002308	0.276600	3.585502	57.000000	3.628752	57.200000	68.405595	
