Train Loss	Train Loss X	Train Loss U	Val Loss	Val Acc.	Test Loss	Test Acc.	Epoch Time	
0.017914	0.017914	0.000000	3.417770	37.920000	3.336284	38.860000	15.056036	
0.000476	0.000476	0.000000	3.386160	38.820000	3.304750	39.760000	15.069330	
0.000321	0.000321	0.000000	3.349697	37.260000	3.267863	38.240000	15.072539	
0.000326	0.000326	0.000000	3.442335	32.680000	3.356375	33.930000	15.076414	
0.386050	0.386050	0.000000	5.154163	10.100000	5.143420	10.250000	15.084995	
0.104212	0.104212	0.000000	8.743834	10.240000	8.697044	10.100000	15.099121	
0.023435	0.023435	0.000000	8.273283	10.960000	8.224290	10.840000	15.141763	
0.404193	0.049771	1.417685	4.893230	18.600000	4.892252	18.370000	136.009677	
0.240651	0.014884	0.903066	3.197804	31.320000	3.180807	31.280000	136.837881	
0.201614	0.013209	0.753620	2.713420	38.780000	2.660181	39.410000	137.228826	
0.164152	0.008369	0.623129	2.608758	41.400000	2.534843	42.380000	137.045089	
0.146663	0.008876	0.551148	2.674512	42.640000	2.594545	43.790000	137.335974	
0.137379	0.010620	0.507036	2.716026	43.240000	2.630342	44.680000	137.421158	
0.140987	0.011592	0.517580	2.730634	44.400000	2.635181	45.820000	137.466684	
0.111870	0.005302	0.426271	2.731411	45.260000	2.635423	46.880000	137.328766	
0.149729	0.013100	0.546518	2.678677	46.440000	2.581221	47.550000	137.257897	
0.154624	0.009534	0.580362	2.576248	47.580000	2.496950	49.160000	137.183356	
0.147319	0.004791	0.570110	2.493031	48.780000	2.416185	49.920000	137.115090	
0.154371	0.006097	0.593096	2.443227	49.880000	2.373006	51.240000	137.058221	
0.170813	0.006778	0.656139	2.372801	50.800000	2.305989	51.850000	137.044863	
0.187081	0.004946	0.728542	2.327843	51.560000	2.263414	52.680000	136.976261	
0.165490	0.003550	0.647760	2.316581	52.320000	2.253874	53.470000	136.956327	
0.192462	0.006523	0.743755	2.287682	53.040000	2.209345	54.670000	136.938022	
0.202782	0.003942	0.795361	2.210745	53.860000	2.136099	55.320000	136.922574	
0.234840	0.005330	0.918040	2.122037	54.280000	2.043813	56.020000	136.892459	
0.238235	0.004020	0.936861	2.025200	54.520000	1.953216	56.650000	136.850564	
0.247423	0.005510	0.967651	1.998944	54.380000	1.935098	56.910000	136.864190	
0.272330	0.004965	1.069461	1.966329	55.020000	1.904119	56.990000	136.862401	
0.264860	0.004775	1.040338	1.946802	54.940000	1.888895	57.010000	136.860152	
0.272059	0.004393	1.070666	1.896700	55.420000	1.845705	57.270000	136.881109	
0.285574	0.004819	1.123020	1.853918	55.600000	1.807997	57.370000	136.879169	
0.307676	0.004942	1.210940	1.788594	56.000000	1.737454	57.330000	136.872073	
0.312305	0.004334	1.231884	1.736234	55.900000	1.686326	57.780000	136.860020	
0.336789	0.004382	1.329628	1.666363	56.040000	1.632911	57.780000	136.884290	
0.337325	0.004512	1.331249	1.637976	56.680000	1.613326	58.070000	136.975064	
0.353698	0.005196	1.394007	1.603507	57.360000	1.581759	58.330000	136.985675	
0.352740	0.004389	1.393407	1.595583	57.500000	1.578573	58.250000	136.986851	
0.372187	0.004795	1.469569	1.553414	57.380000	1.543725	58.260000	137.061928	
0.392728	0.004655	1.552291	1.506817	57.620000	1.501775	58.460000	137.058250	
0.382046	0.004316	1.510918	1.492370	57.920000	1.484724	58.550000	137.023838	
0.378768	0.004138	1.498523	1.487616	58.080000	1.488753	58.610000	136.977933	
0.387751	0.004337	1.533659	1.478097	57.940000	1.480899	58.790000	136.958390	
0.402300	0.004508	1.591170	1.464799	58.000000	1.467002	58.990000	136.913405	
0.405758	0.004647	1.604446	1.451739	58.860000	1.459880	59.350000	136.859083	
0.417142	0.004628	1.650055	1.430186	58.960000	1.442487	59.270000	136.805366	
0.423296	0.004335	1.675843	1.430291	58.860000	1.443163	59.290000	136.760182	
0.433945	0.004417	1.718111	1.417057	59.180000	1.428438	59.550000	136.707682	
0.433466	0.004328	1.716549	1.418230	59.160000	1.431647	59.420000	136.666107	
