Train Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	
0.645116	0.605614	0.014721	1.337297	61.720000	
0.633706	0.594485	0.014382	1.350925	61.840000	
0.636555	0.596471	0.014453	1.337961	62.180000	
0.641992	0.600641	0.014839	1.331057	62.010000	
0.612459	0.571012	0.014812	1.315358	61.910000	
0.620757	0.579248	0.014775	1.309065	62.300000	
0.634407	0.592810	0.014731	1.305392	62.380000	
0.617649	0.575076	0.014676	1.309596	62.480000	
0.616909	0.573860	0.014768	1.300271	62.740000	
0.624604	0.581079	0.014872	1.298491	62.890000	
0.621352	0.578007	0.014751	1.305077	62.780000	
0.662299	0.618411	0.014876	1.313773	62.500000	
0.650887	0.605889	0.014968	1.318850	62.730000	
0.620168	0.575391	0.014710	1.296491	63.080000	
0.656487	0.611673	0.014654	1.291229	63.210000	
0.642669	0.598602	0.014354	1.302833	62.740000	
0.666128	0.619875	0.015007	1.295514	62.840000	
0.653641	0.608127	0.014643	1.312676	62.790000	
0.628547	0.583400	0.014207	1.331771	62.280000	
0.642249	0.596319	0.014387	1.324430	62.510000	
0.619818	0.574812	0.014044	1.328113	62.340000	
0.640743	0.594523	0.014367	1.295263	62.780000	
0.654648	0.607534	0.014589	1.290514	63.340000	
0.611628	0.562853	0.014763	1.284296	63.320000	
0.649049	0.600965	0.014451	1.268466	63.520000	
0.643989	0.595867	0.014398	1.271125	63.420000	
0.647463	0.598598	0.014565	1.277559	63.630000	
0.642354	0.594091	0.014333	1.274542	63.670000	
0.628531	0.579033	0.014486	1.268396	63.670000	
0.658377	0.609886	0.013987	1.274218	63.440000	
0.620301	0.573538	0.013428	1.273893	63.420000	
0.632964	0.582496	0.014438	1.244182	63.860000	
0.631930	0.580905	0.014544	1.243110	64.070000	
0.648240	0.598870	0.013976	1.249162	64.280000	
0.674116	0.621628	0.014538	1.243316	64.350000	
0.628567	0.575492	0.014638	1.256108	64.360000	
0.658326	0.605914	0.014403	1.245360	64.590000	
0.662535	0.611702	0.013919	1.234668	64.790000	
0.650387	0.598318	0.014206	1.246696	64.570000	
0.666129	0.613196	0.014133	1.247232	64.530000	
0.662700	0.609421	0.014134	1.246986	64.390000	
0.665567	0.611013	0.014412	1.227345	64.720000	
0.618602	0.566078	0.013827	1.234831	64.210000	
0.671918	0.616397	0.014564	1.240683	64.160000	
0.657396	0.603317	0.013973	1.230357	64.420000	
0.675894	0.621410	0.013905	1.234920	64.470000	
0.665888	0.610243	0.014143	1.245609	64.150000	
0.647127	0.590015	0.014466	1.265022	63.740000	
0.677642	0.624301	0.013463	1.281381	63.600000	
0.631128	0.576032	0.013775	1.267287	63.850000	
0.663054	0.609774	0.013091	1.243960	64.440000	
0.654362	0.597812	0.013838	1.222934	64.920000	
0.642488	0.583902	0.014287	1.225063	64.850000	
0.669637	0.611754	0.014068	1.232583	64.970000	
0.671189	0.614421	0.013730	1.245176	64.980000	
0.677228	0.618766	0.013839	1.272178	64.310000	
0.693742	0.634110	0.014059	1.259818	64.600000	
0.671568	0.613761	0.013583	1.258415	64.370000	
0.653931	0.596719	0.013399	1.243064	64.570000	
0.670038	0.609194	0.014201	1.245292	64.720000	
0.681841	0.620538	0.014020	1.265710	64.290000	
0.670939	0.609890	0.013886	1.260509	64.470000	
0.678600	0.615977	0.014188	1.251108	64.520000	
0.652892	0.591436	0.013878	1.252977	64.490000	
0.674601	0.613412	0.013772	1.241490	64.550000	
0.669479	0.606699	0.013896	1.234988	64.670000	
0.672125	0.607687	0.014140	1.236406	64.780000	
0.673919	0.611097	0.013733	1.215014	64.940000	
0.650044	0.585932	0.013969	1.205774	65.010000	
0.699048	0.634308	0.014060	1.200406	65.840000	
0.658450	0.592542	0.014123	1.195986	65.890000	
0.649100	0.582791	0.014047	1.196072	65.560000	
0.668712	0.601577	0.014168	1.208330	65.080000	
0.671151	0.607287	0.013435	1.197202	65.550000	
0.662201	0.595917	0.013899	1.174294	66.270000	
0.686677	0.619985	0.013841	1.184129	66.120000	
0.686698	0.619368	0.013778	1.179288	66.000000	
0.693515	0.627199	0.013520	1.185911	65.800000	
0.681221	0.612899	0.013885	1.183989	66.120000	
0.670212	0.600563	0.014110	1.187643	66.210000	
0.670771	0.601253	0.013970	1.204317	66.020000	
0.683070	0.612437	0.013970	1.190464	66.310000	
0.697739	0.627251	0.013890	1.185140	66.510000	
0.674793	0.605592	0.013594	1.197583	66.120000	
0.707729	0.636631	0.013924	1.201306	65.710000	
0.700855	0.630408	0.013709	1.205306	65.650000	
0.659375	0.587424	0.013762	1.188518	66.520000	
0.672261	0.599623	0.013843	1.185259	66.650000	
0.680857	0.611081	0.013258	1.168145	66.700000	
0.677403	0.607305	0.013279	1.167107	66.630000	
0.687610	0.615375	0.013613	1.170980	66.220000	
0.690417	0.615539	0.013859	1.165543	66.110000	
0.709994	0.637153	0.013434	1.144977	66.910000	
0.673170	0.599513	0.013543	1.125696	67.390000	
0.665827	0.592597	0.013425	1.144429	67.060000	
0.702350	0.628112	0.013552	1.147644	67.100000	
0.702344	0.625654	0.013741	1.151269	66.900000	
0.710792	0.632188	0.014036	1.151976	67.030000	
0.689608	0.612387	0.013748	1.161175	66.850000	
0.686887	0.609156	0.013798	1.164428	67.000000	
0.668530	0.593228	0.013314	1.170892	67.120000	
0.683796	0.605522	0.013586	1.176834	66.690000	
0.664095	0.587177	0.013304	1.169890	66.720000	
0.704719	0.624936	0.013760	1.180666	66.590000	
0.697106	0.620951	0.013096	1.158291	66.970000	
0.682790	0.604365	0.013436	1.149574	67.530000	
0.681684	0.605259	0.012855	1.149281	67.390000	
0.698427	0.619074	0.013302	1.152292	67.260000	
0.707862	0.626848	0.013542	1.145990	67.450000	
0.704765	0.626517	0.013043	1.137698	67.860000	
0.712292	0.631923	0.013339	1.130776	68.040000	
0.689300	0.607497	0.013343	1.116736	68.120000	
0.707082	0.622781	0.013703	1.110089	67.910000	
0.725029	0.641817	0.013488	1.109414	68.250000	
0.711708	0.629826	0.013235	1.128089	67.710000	
0.738022	0.652595	0.013741	1.123583	67.760000	
0.676023	0.591110	0.013434	1.101532	68.210000	
0.712813	0.627343	0.013478	1.115374	68.160000	
0.703042	0.619856	0.013081	1.139378	67.680000	
0.709124	0.622419	0.013597	1.127430	68.010000	
0.659126	0.572743	0.013467	1.121193	68.210000	
0.692963	0.603788	0.013693	1.114710	68.230000	
0.706296	0.618114	0.013496	1.111993	68.230000	
0.726472	0.636803	0.013686	1.118687	68.060000	
0.741086	0.650856	0.013734	1.124672	67.850000	
0.704184	0.613759	0.013666	1.113295	68.090000	
0.738554	0.647901	0.013516	1.099272	68.540000	
0.702214	0.616359	0.012759	1.098521	68.100000	
0.699974	0.608772	0.013516	1.097453	68.000000	
0.722784	0.631954	0.013425	1.097929	68.320000	
0.711553	0.623495	0.012897	1.121150	67.840000	
0.738029	0.646130	0.013309	1.119374	67.950000	
0.730244	0.638407	0.013258	1.117716	68.100000	
0.688075	0.600472	0.012612	1.114562	68.190000	
0.718471	0.624701	0.013464	1.087071	68.670000	
0.687640	0.594419	0.013241	1.075096	68.780000	
0.710415	0.613232	0.013676	1.080769	68.850000	
0.736080	0.639349	0.013570	1.078487	68.680000	
0.737394	0.641617	0.013401	1.080324	68.800000	
0.754137	0.657040	0.013550	1.080070	69.070000	
0.737735	0.639266	0.013563	1.080211	69.370000	
0.713558	0.616503	0.013278	1.075265	69.400000	
0.718970	0.623236	0.013057	1.091731	68.940000	
0.719626	0.625334	0.012827	1.094867	68.890000	
0.729434	0.631592	0.013275	1.076632	69.150000	
0.716915	0.615596	0.013536	1.072123	69.090000	
0.735929	0.636590	0.013217	1.047186	69.730000	
0.713995	0.615748	0.013032	1.036897	69.770000	
0.724488	0.623579	0.013351	1.029466	69.860000	
0.694738	0.595150	0.013131	1.031418	69.900000	
0.750733	0.647739	0.013367	1.030393	70.110000	
0.724911	0.621651	0.013361	1.031572	69.970000	
0.708712	0.605622	0.013305	1.038751	69.560000	
0.721716	0.616323	0.013567	1.047604	69.530000	
0.722309	0.619614	0.013131	1.049456	69.650000	
0.726667	0.618999	0.013599	1.042752	69.870000	
0.720254	0.613334	0.013465	1.040730	70.160000	
0.747935	0.642866	0.013198	1.048384	70.040000	
0.755229	0.647178	0.013539	1.046561	69.710000	
0.744248	0.644700	0.012350	1.044053	69.980000	
0.706179	0.601658	0.012853	1.035570	69.960000	
0.748259	0.643287	0.012871	1.043260	69.850000	
0.753033	0.642663	0.013499	1.053111	69.790000	
0.733104	0.624392	0.013263	1.053496	69.610000	
0.736205	0.625082	0.013375	1.060252	69.690000	
0.745143	0.637415	0.012902	1.060623	69.840000	
0.740929	0.629443	0.013314	1.055299	69.590000	
0.749852	0.641425	0.012917	1.054230	69.890000	
0.725501	0.614196	0.013213	1.044311	70.100000	
0.754513	0.642859	0.013061	1.044506	69.860000	
0.753184	0.644829	0.012638	1.063865	69.780000	
0.753244	0.643795	0.012735	1.057621	69.920000	
0.736783	0.630394	0.012349	1.068180	69.180000	
0.739573	0.626976	0.012970	1.076828	69.350000	
0.749328	0.634052	0.013142	1.077318	69.290000	
0.688794	0.581631	0.012182	1.060537	69.490000	
0.747650	0.632471	0.013062	1.066591	69.210000	
0.747464	0.630605	0.013221	1.071035	69.330000	
0.747459	0.635082	0.012566	1.057856	69.700000	
0.734892	0.616045	0.013209	1.055266	69.900000	
0.760940	0.643530	0.013013	1.053994	69.710000	
0.731238	0.615704	0.012774	1.076333	68.850000	
0.760964	0.650101	0.012221	1.081146	68.980000	
0.771313	0.653247	0.012827	1.084959	69.310000	
0.761202	0.642765	0.012832	1.083728	69.210000	
0.757727	0.636361	0.013118	1.060830	69.690000	
0.763883	0.642541	0.013085	1.054733	69.640000	
0.756111	0.647562	0.011615	1.056217	69.300000	
0.740354	0.628604	0.011843	1.029342	69.910000	
0.762549	0.645548	0.012366	1.018706	70.280000	
0.743506	0.622732	0.012735	1.027444	70.180000	
0.731713	0.613641	0.012421	1.028484	69.950000	
0.746159	0.620671	0.013037	1.011935	70.600000	
0.780505	0.654569	0.013024	0.992492	70.920000	
0.780353	0.658015	0.012617	0.996906	71.150000	
0.806000	0.678694	0.013099	1.004525	70.830000	
0.745090	0.619237	0.012888	0.997509	71.190000	
0.775567	0.648241	0.012881	0.992084	71.270000	
0.772877	0.644591	0.012944	0.978202	71.680000	
0.772040	0.639645	0.013328	0.969685	72.030000	
0.750542	0.624418	0.012668	0.959057	72.260000	
0.760306	0.631070	0.012850	0.948347	72.560000	
0.760214	0.631521	0.012710	0.944477	73.070000	
0.752296	0.625561	0.012485	0.933024	73.440000	
0.762943	0.637673	0.012313	0.924849	73.510000	
0.747832	0.615946	0.012924	0.926170	73.430000	
0.786522	0.650461	0.013155	0.926320	73.680000	
0.784851	0.649274	0.013073	0.927834	73.640000	
0.801884	0.663980	0.013268	0.927113	73.910000	
0.763289	0.627824	0.013005	0.932484	73.700000	
0.777398	0.638814	0.013186	0.928885	73.440000	
0.780375	0.639876	0.013269	0.906862	74.190000	
0.794471	0.657330	0.012919	0.912229	74.050000	
0.793088	0.654789	0.012999	0.907308	74.060000	
0.741721	0.607542	0.012582	0.921065	73.610000	
0.776003	0.635171	0.013026	0.921285	73.360000	
0.816099	0.673354	0.013168	0.915866	73.910000	
0.775416	0.636890	0.012751	0.916963	74.000000	
0.766948	0.628552	0.012711	0.907511	74.400000	
0.782018	0.644510	0.012521	0.909592	74.260000	
0.801221	0.657818	0.012963	0.908836	74.190000	
0.795055	0.650363	0.013046	0.899696	74.380000	
0.790752	0.642919	0.013300	0.899462	74.020000	
0.783835	0.642496	0.012683	0.906737	73.800000	
0.776907	0.631054	0.012916	0.900492	74.130000	
0.784208	0.639511	0.012782	0.915649	73.880000	
0.796930	0.649962	0.012955	0.906955	73.910000	
0.806294	0.658904	0.012964	0.899971	73.900000	
0.779616	0.632721	0.012807	0.890374	74.080000	
0.802230	0.651326	0.013068	0.879924	74.410000	
0.811750	0.661774	0.012955	0.877182	74.620000	
0.781249	0.635033	0.012603	0.880550	74.740000	
0.801359	0.656141	0.012471	0.887898	74.520000	
0.777189	0.629084	0.012571	0.883311	74.550000	
0.804813	0.654162	0.012755	0.880569	74.730000	
0.818592	0.675291	0.012108	0.880404	74.850000	
0.781677	0.630308	0.012762	0.885118	74.620000	
0.814251	0.662557	0.012661	0.898419	74.240000	
0.803908	0.650113	0.012771	0.899757	74.080000	
0.810541	0.655172	0.012870	0.896008	74.140000	
0.789112	0.634338	0.012794	0.891306	74.160000	
0.774658	0.617392	0.012927	0.896550	74.280000	
0.832045	0.669795	0.013211	0.897572	74.610000	
0.799049	0.639980	0.012920	0.914391	74.000000	
0.788799	0.632641	0.012658	0.902453	74.060000	
0.813838	0.659998	0.012444	0.900059	74.170000	
0.816215	0.657227	0.012702	0.900118	74.070000	
0.812112	0.651421	0.012806	0.906025	73.840000	
0.857305	0.695585	0.012857	0.914119	73.560000	
0.832474	0.668648	0.012998	0.906333	73.620000	
0.808952	0.651662	0.012379	0.896993	74.220000	
0.815548	0.653593	0.012661	0.883089	74.520000	
0.800504	0.636008	0.012829	0.893573	74.020000	
0.800612	0.639577	0.012533	0.891859	74.120000	
0.810623	0.645503	0.012795	0.889414	74.220000	
0.816738	0.650411	0.012757	0.883190	74.280000	
0.808896	0.644196	0.012603	0.880776	74.420000	
0.804994	0.637752	0.012772	0.864283	74.890000	
0.805841	0.637532	0.012827	0.862326	75.410000	
0.852955	0.680727	0.012976	0.880706	74.840000	
0.845565	0.674659	0.012838	0.872708	74.980000	
0.841570	0.671856	0.012719	0.873181	75.170000	
0.823684	0.657900	0.012400	0.872146	74.860000	
0.870815	0.697156	0.012885	0.883080	74.650000	
0.819085	0.649313	0.012517	0.881658	74.740000	
0.824554	0.649335	0.012889	0.890692	74.320000	
0.826358	0.650870	0.012883	0.882990	74.360000	
0.836061	0.657952	0.013011	0.874938	74.500000	
0.847049	0.670158	0.012803	0.874369	74.700000	
0.827837	0.652566	0.012657	0.874271	74.840000	
0.831710	0.653347	0.012855	0.880762	74.620000	
0.837763	0.662851	0.012581	0.868557	74.790000	
0.825162	0.645978	0.012734	0.856983	75.080000	
0.787833	0.612267	0.012448	0.853249	75.180000	
0.845584	0.663560	0.012881	0.863388	74.970000	
0.794562	0.616949	0.012544	0.876723	74.630000	
0.858612	0.675400	0.012815	0.860925	75.230000	
0.802688	0.621527	0.012618	0.861881	75.230000	
0.853677	0.672572	0.012586	0.860948	75.250000	
0.822387	0.642520	0.012476	0.868962	74.720000	
0.849798	0.669655	0.012405	0.875016	74.710000	
0.843876	0.658229	0.012701	0.874751	74.270000	
0.838862	0.652881	0.012695	0.862036	75.040000	
0.857513	0.670340	0.012752	0.859482	75.320000	
0.833699	0.651289	0.012369	0.861387	75.130000	
0.832689	0.644715	0.012633	0.859296	75.140000	
0.820479	0.638260	0.012219	0.854536	75.540000	
0.864963	0.677741	0.012531	0.858676	75.320000	
0.850306	0.662451	0.012540	0.855172	75.390000	
0.850350	0.659348	0.012612	0.853409	75.290000	
0.837479	0.647245	0.012534	0.851746	75.330000	
0.871650	0.681511	0.012504	0.845474	75.280000	
0.877587	0.684418	0.012680	0.851969	75.070000	
0.848314	0.652167	0.012738	0.852184	75.350000	
